payment_method_id,actual_amount_paid,is_cancel,days_until_expiration,partial_play_ratio,avg_song_duration,skip_ratio,retention_time,engagement_score,plan_type_monthly,is_churn
41.0,-1.0647830948046846,0,31,2.1262958150937235,-1.1731394985824852,2.194036140014631,-1.096833671729171,-0.6535784679887606,1,0
41.0,0.6041522752415744,0,31,-0.13790468392571428,0.6663712114051901,0.022058474093197385,0.5986507178192298,1.2700907296347261,1,0
41.0,-0.06342187277692923,0,151,1.1724595070372144,-0.4930128594330694,1.2739133432526488,-0.2417885341900716,-0.9286493468191792,1,1
41.0,-1.0647830948046846,0,31,0.8240935176584006,0.023382405849538063,0.9123840664927444,0.05017161593615619,-0.1663463408394838,1,0
15.0,1.638892204670255,0,244,0.09274095877113461,0.4944465123558125,0.26322102154955246,0.4575079248086923,0.6925608573289341,0,1
38.0,0.6041522752415744,0,32,1.56108820350769,-0.2291927430998783,1.8453824670943373,-0.4049038317177805,0.11329739411747479,1,1
40.0,0.6041522752415744,0,43,-0.5911451721085319,0.6437235678006898,-0.556330517433487,0.8472052783566882,-0.9148510967525724,1,0
41.0,-1.0647830948046846,0,31,-0.3992034626400225,0.861488374631399,-0.4343141718288582,0.779201763134661,-0.6766161789935837,1,0
36.0,1.638892204670255,0,31,-1.1363970427497931,0.8967952427025323,-1.0734048486673549,1.1314161060777843,1.0211209054254122,1,0
41.0,-1.0647830948046846,0,31,-1.0323200701090252,0.6337475282868938,-0.945593485841063,1.1266369142546264,0.5593387519510962,1,0
41.0,-1.0647830948046846,0,63,-0.2658658192198207,0.4955993972376923,-0.23676397865293622,0.6711214564156941,-0.37276559481511345,1,1
41.0,-1.0647830948046846,0,31,1.961605621962783,-0.4260082787856835,1.7830463736007836,-0.5910553351472605,-0.5678488634022645,1,0
41.0,-1.0647830948046846,0,31,0.7138844769086221,0.17310559752516283,0.804620456205601,0.13662683019106103,1.9000557963221323,1,0
41.0,-1.0647830948046846,0,31,-0.8002485537170819,1.1485100270200919,-0.7138423384115059,1.0133666440045488,-0.04113001693451176,1,0
39.0,0.6041522752415744,0,36,-1.2121327468497551,-2.027689938900787,-1.1664118156266647,-1.9380581475206367,-1.106454867151147,1,0
